tab_compraitem_id_compraitem;tab_compraitem_id_compra;tab_compraitem_id_produto;tab_compraitem_qtdvol;tab_compraitem_vol;tab_compraitem_custo;tab_compraitem_obs
1;1;3;8.000;1.000;224.00;
2;2;1;1.000;300.000;79.32;
3;3;1;1.000;250.000;79.32;
4;4;1;1.000;100.000;79.32;
5;5;1;1.000;130.000;79.32;
6;6;1;1.000;200.000;79.32;
7;6;2;1.000;3.000;295.92;
8;7;1;1.000;250.000;79.32;
9;8;5;1.000;1000.000;1.43;
10;9;1;1.000;300.000;79.32;
11;10;4;1.000;1.000;100.00;
12;11;1;1.000;282.000;79.32;
13;12;1;1.000;26.000;0.00;"Devolveu 12 P13 26/02 14 P13 27/03"
14;13;1;1.000;200.000;79.32;
16;14;1;1.000;200.000;79.32;
17;15;1;1.000;200.000;77.50;
18;16;4;1.000;5.000;120.00;
19;17;1;1.000;200.000;79.32;
20;18;1;1.000;8.000;0.00;
21;19;1;1.000;285.000;79.32;
22;19;2;1.000;3.000;295.92;
23;20;1;1.000;200.000;79.32;
24;21;1;1.000;232.000;79.32;
25;23;4;1.000;100.000;110.00;
26;24;1;1.000;200.000;79.32;
27;25;1;1.000;80.000;79.32;
28;26;1;1.000;200.000;79.32;
29;27;1;1.000;200.000;77.50;
30;28;1;1.000;111.000;78.00;
31;28;4;1.000;4.000;110.00;
32;29;1;1.000;248.000;79.32;
33;30;1;1.000;13.000;0.00;
34;31;1;1.000;50.000;79.32;
36;31;2;1.000;2.000;295.92;
37;32;1;1.000;110.000;79.32;
38;33;1;1.000;100.000;77.50;
39;34;1;1.000;178.000;79.32;
40;34;2;1.000;2.000;295.92;
41;35;1;1.000;3.000;0.00;
42;35;2;1.000;1.000;0.00;
43;36;1;1.000;200.000;79.32;
44;37;1;1.000;100.000;77.50;
45;38;1;1.000;100.000;77.50;
46;39;1;1.000;170.000;79.32;
47;40;1;1.000;15.000;75.00;
48;40;4;1.000;15.000;105.00;
49;41;1;1.000;200.000;79.32;
50;42;1;1.000;200.000;79.32;
51;43;1;1.000;100.000;77.50;
52;44;1;1.000;200.000;79.32;
53;45;1;1.000;100.000;79.00;
54;46;5;1.000;1000.000;1.48;
55;47;1;1.000;200.000;80.71;
56;48;1;1.000;217.000;80.71;
57;48;2;1.000;3.000;300.73;
58;49;1;1.000;200.000;79.00;
59;50;1;1.000;178.000;80.71;
60;50;2;1.000;2.000;300.73;
61;51;1;1.000;106.000;79.00;
62;52;1;1.000;195.000;80.71;
63;53;1;1.000;200.000;79.00;
64;54;1;1.000;100.000;79.00;
65;55;1;1.000;200.000;81.30;
66;56;2;1.000;1.000;302.77;
67;57;1;1.000;200.000;79.00;
68;58;11;1.000;5.000;28.00;
69;59;4;1.000;2.000;100.00;
70;60;1;1.000;82.000;81.30;
71;61;1;1.000;150.000;79.00;
72;62;4;1.000;2.000;100.00;
73;63;1;1.000;100.000;81.30;
74;63;2;1.000;3.000;302.77;
75;64;1;0.000;6.000;0.00;
76;65;1;1.000;100.000;79.00;
77;66;1;1.000;200.000;79.00;
78;67;1;1.000;100.000;79.00;
79;68;1;1.000;208.000;81.30;
80;69;1;1.000;200.000;79.00;
81;70;1;1.000;4.000;0.00;
82;71;1;1.000;270.000;81.30;
83;72;2;1.000;5.000;300.00;
